16644,1
16644,5
3104,5
3106,5
3107,91
3111,7
3112,1
3115,1
3116,5
3120,7
3128,21
3130,11
3132,5
3154,11
3171,5
3172,1
3172,5
3173,1
3174,11
3174,5
3175,11
3175,5
3176,1
3178,5
3179,1
3179,11
3182,11
3182,7
3183,7
3185,7
3190,5
3191,1
3301,1
3301,5
3305,5
3307,11
3309,11
3310,5
3321,11
3322,1
3323,11
3324,1
3326,1
3328,1
3350,11
3353,1
3354,1
3354,7
3355,5
3356,7
3357,5
3358,5
3360,1
3368,1
3370,1
3372,7
3377,11
3377,7
3378,11
3379,1
3380,5
3383,1
3384,7
3387,5
3387,7
3390,1
3390,5
3552,1
3552,7
3556,1
3556,11
3556,5
3557,1
3557,11
3558,7
3559,1
3559,11
3559,5
3563,1
3565,11
3566,1
3567,11
3569,11
3570,1
3572,1
3573,1
3573,7
3574,21
3577,11
3577,5
3585,7
3586,1
3586,11
3587,5
3591,5
3592,5
3593,5
3605,90
3750,1
3751,5
3752,7
3756,1
3757,11
3758,5
3760,1
3763,11
3763,5
3769,1
3771,1
3775,1
3775,5
3776,1
3780,1
3783,1
3788,5
3803,1
3807,5
3808,1
3809,1
3813,1
3815,1
3820,7
3821,7
3824,11
3825,1
3825,11
3825,5
3826,11
3832,11
3834,5
3836,5
3851,1
3852,1
3853,9
3854,1
3857,1
3857,5
3863,1
3865,7
3866,1
3868,5
4001,1
4005,5
4005,7
4011,11
4012,7
4013,5
4013,7
4021,5
4021,7
4022,7
4024,5
4025,7
4027,1
4027,5
4029,11
4029,7
4030,7
40338,7
4034,11
4037,1
4037,11
4038,11
4066,1
4067,1
40806,1
4081,11
40893,11
41283,1
41370,1
41488,1
41829,1
42710,1
50110,1
50110,11
50172,11
50572,1
50961,5
51689,1
52006,1
52128,1
52353,1
53339,11
55282,1
59483,11
59503,7
59507,5
60023,5
