bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-MNI0056D864854_ses-01_run-1_T1w	0.3923607629742523	3.432691705660076	0.5181485412022723	7736.743968540759	3.64721	3.65945	3.85795	3.42423	0.28331472470144753	0.37843867429020533	0.3382466010083471	0.5540865063667297	0.16348751783370974	0.0	0.02172478552794797	20.1150630342379	13.883670346595908	18.302709357442534	192	256	256	3.326783834971482	11.142205668961466	12.062747852846998	21.719254054608047	17.598936668561013	50.579213057211234	45.9967248980075	69.81202496825026	1.0	1.0	1.0	2.9625797619335517	9.384291449730108	7.613266549625891	6.329608395695686	3895506.0	0.0	25.748221807181835	9.665368699023466	2.8359634263077425	58.622857698314014	260.2712554358775	252.09032943844795	114580.0	152.2231747508049	400.67984011024237	75.77565657363441	0.11522082936997746	64.2418470231524	725.3164142541787	724.5057313665748	13569.0	621.0439842566848	834.4143018424511	65.02115068644333	0.4185897656155677	43.85128782373884	999.780987201391	999.9999832063913	182309.0	923.7711808606982	1074.7049909383059	46.04196986195075	0.14586990355590526	0.3923369743405718	0.42513746801352265	0.4527427429198139
sub-MNI0058D197308_ses-01_run-1_T1w	0.3838827245005748	3.5218805874929986	0.5271859407022892	3107.570028343468	4.589126666666666	4.50116	4.93173	4.33449	0.21565850920010293	0.4074841274002955	0.3768573633996016	0.6585503220558167	0.4030457973480225	0.0	0.013306951981280525	24.60019488956258	13.101208261450717	16.732716598279428	192	256	256	1.107527556519605	9.863960979314829	10.47396928285441	20.450419312728798	7.240079506478209	41.21406761316821	35.89690660740454	59.236572702567194	1.0	1.0	1.0	47.646686606057905	11.060114184544936	9.527227829591848	7.459933653473854	4237520.0	0.0	27.626347705721855	9.833035010642108	1.9244150767586774	102.2149014198054	153.40312132036766	122.22814370691776	71164.0	32.708939865231514	364.7518164407458	110.36049099318086	-0.025284886043452026	69.9461067385232	695.609387577671	695.7822734490037	34420.0	579.1285856589675	811.2882791385055	70.53679222743467	0.5008967480434516	46.85356063892388	1000.3161573998377	1000.040996029973	240484.0	920.6049992144108	1080.2557771280408	48.90065585010906	0.13307741140585982	0.41644801293746153	0.47476369539762797	0.437863632147379
sub-MNI0068D842090_ses-01_run-1_T1w	0.39610784541058175	3.4243904878463183	0.5360246245285301	3180.1033488223043	4.004106666666666	4.08467	4.09335	3.8343	0.268306659408912	0.4064992941288872	0.3251940464622008	0.5666273236274719	0.18372334837913507	0.0	0.01063740003195206	23.416881835390775	14.783869970512699	21.16894307979997	192	256	256	2.4047434070778233	10.798757929175542	11.494619965303364	21.28035855965673	17.13952859224322	54.93155393163352	49.51848979357411	76.4843868568456	1.0	1.0	1.0	210.3101268809253	8.565931785435446	9.687845846944764	5.777633190155029	4280590.0	0.0	32.029753997921944	11.845585896713256	1.1839641835957027	85.23102126508267	236.28245582652954	224.0999473631382	69808.0	108.11396107077599	410.7283324673768	93.19012647307466	-0.02101162038660709	66.70719377907852	715.3365936916728	718.2320259511471	25583.0	600.4802505150437	819.3731059655546	66.50931461132484	0.3867817432729268	44.91760479987711	999.5788653008079	1000.0360848009586	158320.0	922.0380367338657	1075.9054361395533	46.9932366843284	0.15104638740227427	0.43499260912882953	0.4734595294505299	0.4954244305157015
sub-MNI0079D760662_ses-01_run-1_T1w	0.352214835466014	3.8467089791408675	0.4895484373369941	3727.4450326220745	4.209783333333333	4.2428	4.41262	3.97393	0.24154667002836433	0.415613135833596	0.34284019413803973	0.48183438181877136	0.142424575984478	0.0	0.012308127705155483	24.768176463017415	14.272154019137657	19.885669878966638	192	256	256	2.180611483866311	10.736168567697469	12.626738710239016	24.96343607915326	18.260425230261507	63.44827324666966	57.330990161632116	90.28427200796519	1.0	1.0	1.0	5.451267081082477	7.256618102016006	7.1815154775635826	4.8945145308971405	4468430.0	0.0	25.822783559560776	9.032031057606513	1.3535888786652794	76.61987802887245	225.711664073413	202.26159358024597	67881.0	114.8016822040081	412.1518787741661	92.75384691240394	-0.07674111614853452	66.41056704396718	703.5645111220717	702.7847760915756	36718.0	597.6657938405872	813.0683150544763	65.45865981558582	0.41168855063698917	38.28491619339479	999.4863894958617	1000.033706843853	201804.0	932.6581826806068	1064.2699906527996	40.05983895545549	0.14080711270541516	0.45585263488678296	0.5090995578691359	0.5339268657523384
sub-MNI0103D369057_ses-01_run-1_T1w	0.42623278361345807	3.1827003074155353	0.5499587049036876	2280.383699652114	4.052196666666666	4.17549	4.24111	3.73999	0.31926408399361894	0.34200371559446063	0.3387322004119204	0.7969416379928589	0.395997554063797	0.0	0.012400310520420378	18.346314807097453	14.110028336994002	16.706241228962902	192	256	256	3.038691069822662	12.574547773466579	10.331724899615004	15.381935855555774	10.99153534518378	32.713153246752704	29.704442705922492	45.408639525831006	1.0	1.0	1.0	97.84736122891435	0.0	9.643870962453065	0.0	3663929.0	0.0	34.218017376959324	14.428527227937524	1.3907373803257155	72.17247888598872	251.12690871314294	242.07427186891437	145452.0	140.04898408055305	397.37906447052956	79.66372170131116	0.26796338857638435	56.57027066998301	721.1676727401174	720.4646579436958	12778.0	628.2249288965016	813.6971727948636	57.29323064064954	0.35672654980713414	62.60508705541918	1001.286758431847	1000.066233202815	134323.0	896.9488810300827	1110.3978288844228	65.01538687781147	0.14714987991436781	0.349596835189318	0.40206583407441293	0.33600925081722965
sub-MNI0109D584299_ses-01_run-1_T1w	0.34368998471436274	3.8487819799026886	0.4998681673743857	4110.653605450895	3.9804200000000005	4.04448	4.18034	3.71644	0.22128251763896772	0.4270846711880979	0.3516328111729344	0.46955810487270355	0.1325138583779335	0.0	0.012568620654310638	26.714785446267065	14.252732245132714	19.88960133772247	192	256	256	2.146674645375141	10.478355329087568	12.408080460183662	24.599211406088276	23.281157805467213	64.71705546519158	60.249129509967936	92.74917525924502	1.0	1.0	1.0	4.116471256665126	7.063527895524878	7.151790356044543	4.7642771657556295	4441520.0	0.0	26.001120479777455	8.933329780258571	0.0515569011787913	120.81864380776867	266.253956337809	251.0120145957917	39856.0	106.74471976608038	478.9499809574336	116.92916117041123	-0.003223365856410698	65.46459186832861	698.6837889198187	697.7642008513212	34374.0	588.8708855006844	810.2696479093283	66.5900352937863	0.4913491112639923	38.41081835997842	999.9955401420408	999.9999797455966	210979.0	933.4869338236749	1066.7621381990612	40.65161249808294	0.14427489389942214	0.4714375540841999	0.5218720290986645	0.5563948854776672
sub-MNI0110D514228_ses-01_run-1_T1w	0.429569207981381	3.173513735671491	0.5401566965977351	6400.851092123134	3.7467066666666664	3.82792	3.89454	3.51766	0.2682587504811335	0.40366806785224657	0.3280731816666199	0.6534968614578247	0.27651412189006797	0.0	0.0115646354265942	21.09797837932734	13.360193715023676	18.74612235345654	192	256	256	3.0426318169572015	12.130039540260741	11.335569415957865	18.834036890655657	13.56714059290488	38.532179007247414	34.708777035974116	52.02701150777005	1.0	1.0	1.0	3.4739250360469693	12.59223547052356	9.348392062008225	8.493333756923676	4489238.0	0.0	33.20121377706528	11.553637066844443	2.207329450679916	70.28756889910423	271.8020899250905	260.7710837125778	70633.0	156.53471487760544	435.83670860528946	85.70515706003594	0.1313788483823628	60.21378052268539	739.0447299305841	740.6187036037445	20087.0	636.1249610185623	837.221367007494	61.05505803522127	0.28680359362614904	51.208424246795815	1001.2329159420809	999.9999690651894	170487.0	916.3020254969597	1090.492579638958	53.09520428847553	0.15331735052891987	0.4298878579191826	0.47940383445578705	0.3666509389449844
sub-MNI0136D587352_ses-01_run-1_T1w	0.4155534091108819	3.2103788828276065	0.5264877074678183	3701.3889214674423	3.7045266666666663	3.7655	3.8676	3.48048	0.2857184187530849	0.40187453974738246	0.3124070414995326	0.6345062255859375	0.2497929453849792	0.0	0.013422100519030141	22.231686902003155	14.781383655274889	21.169489029099424	192	256	256	2.90585717695325	12.677368096082269	11.231054062929005	18.10993691575149	16.686958255812183	47.67627653345023	42.94368574012211	64.46782243110393	1.0	1.0	1.0	200.10682356571297	10.162222743571721	9.136710946172627	6.8543150797486305	4090809.0	0.0	32.44646191596985	11.427289163614942	1.736778624729725	76.90818277531498	270.2177658136109	258.84164993464947	77473.0	148.88870211690664	436.5671450793743	89.07525856880888	0.152269953832473	56.64386878369563	738.0724012879141	739.5359832197428	14545.0	638.7572725087405	831.6352653682231	58.33312993944143	0.4929362655380203	51.592823159671816	1001.4459967060308	999.9999562501907	145411.0	913.7734837085009	1095.3519962057471	55.218111601772186	0.15999813314894035	0.44849045412023275	0.49513437310721525	0.40769892188636814
sub-MNI0143D404771_ses-01_run-1_T1w	0.45448385550400405	3.027345220661452	0.5312222723462491	2220.795152040502	3.6862	3.67512	3.9098	3.47368	0.29058270933364094	0.3661133247836313	0.34330396588272777	0.6779088973999023	0.21133751869201656	2.93140368799898e-06	0.012575526508072126	22.98770237957393	16.11544132808883	20.256506666709885	192	256	256	3.1849201217332186	10.119673562295446	9.617062077554333	15.546592548634337	19.0680519824279	51.707226620633776	47.90919394193696	72.95230322274921	1.0	1.0	1.0	12.467449392282166	8.980908157957572	11.600939063465638	6.057530499994755	4514386.0	0.0	40.341250240802765	14.5360901435169	1.4050478414778391	68.41477156978151	271.283923191643	261.39354126155376	93572.0	154.2608814239502	426.32487366311244	82.07180541932166	0.026637495315919857	70.34261049374098	706.8692040499752	708.8262129575014	8605.0	589.331116528809	819.6314488783478	70.04030520521918	0.6192972581660414	62.01998879762323	1003.4225024648186	1000.0633992478251	144888.0	904.6969373971224	1113.9830304309726	64.32663266585158	0.16292012861363714	0.41027741074228036	0.46065855492266194	0.5253661218573499
sub-MNI0143D404771_ses-01_run-2_T1w	0.3855536875489663	3.5010350576655473	0.5184682602075055	2861.353422177835	3.59641	3.62805	3.75053	3.41065	0.30034516788688026	0.3860273633052103	0.3136274688079094	0.5663194060325623	0.14397901296615612	0.0	0.02023392374386782	22.159053056075297	15.8348444573448	22.417628571530962	192	256	256	3.122656893515707	10.778194099784363	11.196117342712332	19.687501034836927	21.126568409343776	61.342981118848286	56.40100466439666	86.73346446499794	1.0	1.0	1.0	2.7790183626259184	7.553886541249922	8.654203527884077	5.095019046217203	4414501.0	0.0	29.955198185518384	10.297656573817717	2.0926555479252933	63.817317331249335	254.63922009347792	243.59461750276387	97431.0	147.0527910925448	401.3059541862458	78.00836778371045	0.2052839382869487	63.339772779791005	706.934400035565	707.2999141458422	13245.0	597.3002098411322	814.4065846472978	65.62075301812267	0.26029572853498717	49.53439392854115	999.5597491549707	1000.0585372727364	140619.0	915.6100606676191	1081.5788420122117	50.79644082717331	0.16292039893310759	0.42388359787361873	0.45911203228838016	0.5768795500228029
